"station_id";"codestation";"inseecom";"coordx";"coordy";"codecourseau";"libellecourseau";"codetronconhydro";"coderegion";"codedepartement";"naturestation";"libellenaturestation";"typeentitehydro";"cdtronconh";"idtronconh";"nomentiteh";"etat";"sens";"largeur";"nature";"navigable";"source";"target";"troncon_id";"gid";"distance";"cdentitehy";"nomentiteh_plando";"distance_planeau";"verif_cdho"
21017;"K7300002";"36246";"564077.2";"6642700";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"K7306000";"418001789";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";132997;133088;97637;"315629";"3.0880095677102273";"K7305333";NULL;"132.46204723077253";False
21018;"K7305103";"36212";"565263.9";"6642835";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"K7306100";"418001783";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";133038;133189;97761;"315755";"78.08980390881587";"K7305103";"étang de notz";"0";False
21019;"K7305333";"36212";"564491.5";"6642997";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"K7306000";"450003367";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";133099;133187;97759;"315780";"21.00139425302085";"K7305333";NULL;"0";False
21047;"L4700002";"36066";"558025.6";"6623974";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4754200";"423000194";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";8118;117509;86464;"304477";"741.3011533802447";"L4759013";NULL;"409.23305122270625";False
21048;"L4700004";"36173";"562619.1";"6622753";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L4744400";"423000223";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";122345;122760;86067;"304082";"22.01404455758041";"L4746903";"étang de la gâtevine";"168.88959372966312";False
21049;"L4700005";"36144";"582998.4";"6620936";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6118500";"425002071";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";123772;123773;87191;"305206";"2179.979525127336";"L4709303";"étang de la menaigue";"389.42716905855934";False
21090;"L6100003";"36204";"560323.8";"6632368";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"L6126800";"425001497";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";127472;127142;91303;"309319";"171.61653925461675";"L6125793";"les grands étangs";"0";False
20940;"J722990V";"35047";"344784.7";"6781594";NULL;NULL;NULL;"53";"35";"M";"Station de mesure Manuelle";"1";"J7220060";"408002323";"fleuve la vilaine";"Permanent";"Sens du tronçon";"Entre 15 et 50 mètres";"Cours d'eau naturel";"Navigable";203490;202675;179315;"397330";"447.5167265099057";"J7229903";"gravières de l'étang de la chaise";"0";False
20945;"J735500S";"35133";"327020.7";"6787030.56";NULL;NULL;NULL;"53";"35";"M";"Station de mesure Manuelle";"1";"J7356000";"408001956";"ruisseau de putenoë";"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";206724;205954;183072;"401089";"176.88317672100814";"J7355003";"étang de careil";"0";False
20953;"J0315203";"35044";"354731.1";"6831529";NULL;NULL;NULL;"53";"35";"M";"Station de mesure Manuelle";"1";"J0315400";"450000889";"ruisseau de landal";"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";19424;19425;214421;"432407";"21.81896527582754";"J0315203";NULL;"0";False
20955;"J040510S";"35224";"344250.72";"6834494.48";NULL;NULL;NULL;"53";"35";"M";"Station de mesure Manuelle";"1";"J0404000";"401000564";"rivière le biez jean";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";234721;235415;216407;"434395";"0.033540883742485796";"J0405103";"étang de beaufort";"0";False
20960;"J040550R";"35362";"341696.1";"6833302";NULL;NULL;NULL;"53";"35";"M";"Station de mesure Manuelle";"1";"J0406500";"401000597";"rivière le meleuc";"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";234709;236869;218114;"436097";"11.631079600964556";"J0405503";"lac de mireloup";"0.43824728276391167";False
20963;"J050510R";"35263";"336969.6";"6852845";NULL;NULL;NULL;"53";"35";"M";"Station de mesure Manuelle";"1";"J0504400";"401000013";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";246717;246969;229987;"448002";"36.52738547751097";"J0505103";"étang de ste suzanne";"5.920656268167853";False
20965;"J901510S";"44057";"319940.9";"6734916";NULL;NULL;NULL;"52";"44";"M";"Station de mesure Manuelle";"1";"J9015000";"410000198";"ruisseau du moulin aumée";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";13448;13449;148179;"366199";"0.9927108855615988";"J9015103";"étang aumée";"0";False
20981;"K055513V";"43020";"788584.39";"6469084.8";NULL;NULL;NULL;"84";"43";"M";"Station de mesure Manuelle";"1";"K0550001";"450005091";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";49130;49172;1921;"219865";"162.27529313306658";"K0555133";"gravières de bas-en-basset";"1.8656959530128665";False
20990;"K1315103";"71468";"813583";"6640587";NULL;NULL;NULL;"27";"71";"M";"Station de mesure Manuelle";"1";"K1314000";"412003593";"ruisseau de brandon";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";132427;131898;96917;"314918";"79.54867645701695";"K1315103";"étang de brandon";"0";False
20993;"K135530";"71059";"811649.9";"6632140";NULL;NULL;NULL;"27";"71";"M";"Station de mesure Manuelle";"1";"K1354300";"412004748";"ruisseau le montmarin";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";127327;127270;91144;"309161";"0.13444139375364067";"K1355303";"étang de torcy";"0";False
20997;"K267510";"63077";"693740.92";"6496942.52";NULL;NULL;NULL;"84";"63";"M";"Station de mesure Manuelle";"1";"K2675300";"413002479";"ruisseau de quancouve";"Fictif";"Sens du tronçon";"Sans objet";"Sans objet";"Non navigable";63732;63492;18575;"236553";"53.27764297584106";"K2675103";"lac chambon";"0";False
20998;"K171590";"58024";"746815";"6674007.49";NULL;NULL;NULL;"27";"58";"M";"Station de mesure Manuelle";"1";"K1717702";"412000421";NULL;"Fictif";"Sens du tronçon";"De 0 à 15 mètres";"Canal, chenal";"Non navigable";147369;147130;114099;"332085";"35.483907709714174";"K1715903";"étang de baye";"0";False
21002;"K2600001";"63084";"704636";"6510581";NULL;NULL;NULL;"84";"63";"M";"Station de mesure Manuelle";"1";"K2698200";"413001701";"rivière l'auzon";"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";70166;70862;26967;"244961";"8.078083304219994";"K2699323";NULL;"3550.48363184153";False
21004;"K2600002";"63262";"712608";"6510811";NULL;NULL;NULL;"84";"63";"M";"Station de mesure Manuelle";"1";"K2698200";"413001701";"rivière l'auzon";"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";70166;70862;26967;"244961";"128.56354895106656";"K2699313";"étangs de la martoise";"3180.2639969026727";False
21015;"K7300001";"36246";"561968.9";"6645226";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"K7306800";"418001736";NULL;"Intermittent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";134747;134748;99481;"317472";"13.172822881573023";"K7309163";NULL;"182.67416347486022";False
21021;"K7309133";"36212";"564580.4";"6642395";NULL;NULL;NULL;"24";"36";"M";"Station de mesure Manuelle";"1";"K7306000";"450003367";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Cours d'eau naturel";"Non navigable";133099;133187;97759;"315780";"559.9963759637865";"K7309133";"étang de notz";"0";False
21028;"L012560";"87035";"589673.6";"6522311";NULL;NULL;NULL;"75";"87";"M";"Station de mesure Manuelle";"1";"L0128300";"419003193";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";77045;76128;34095;"252106";"322.72119655451564";"L0125603";"retenue de villejoubert";"293.24673911913806";False
